sentence_main,sentence_lemma
শোভনদেব অর্থ,শোভনদেব অর্থ
অর্থ আমলাদের,অর্থ আমলা
আমলাদের মনপ্রাণ,আমলা মনপ্রাণ
মনপ্রাণ জাহান্নামকেই,মনপ্রাণ জাহান্নাম
জাহান্নামকেই জিলাপির,জাহান্নাম জিলাপি
জিলাপির ঠিকাতে,জিলাপি ঠিকা
ঠিকাতে করলেন,ঠিকা করা
করলেন অনুতাপের,করা অনুতাপ
অনুতাপের হিসাবকেই,অনুতাপ হিসাব
হিসাবকেই আপদবিপদ,হিসাব আপদ
আপদবিপদ বাচ্চারা,আপদ বাচ্চা
বাচ্চারা উতরাইয়ে,বাচ্চা উতরাই
উতরাইয়ে অতীতকাল,উতরাই অতীত
অতীতকাল ত্যাগ,অতীত ত্যাগ
ত্যাগ মোহরে,ত্যাগ মোহর
মোহরে উদ্দীপনামূলক,মোহর উদ্দীপনা
উদ্দীপনামূলক কটুকাটব্যের,উদ্দীপনা কটু
কটুকাটব্যের ক্ষুধায়,কটু ক্ষুধা
ক্ষুধায় পড়ুয়াকে,ক্ষুধা পড়ুয়া
পড়ুয়াকে অপরাধী,পড়ুয়া অপরাধী
অপরাধী কণ্ঠ,অপরাধী কণ্ঠ
কণ্ঠ গ্রহগুলোকে,কণ্ঠ গ্রহ
গ্রহগুলোকে রাখবে,গ্রহ রাখা
রাখবে নাসুনিন,রাখা নাসুনিন
নাসুনিন উন্মত্তকারী,নাসুনিন উন্মত্ত
উন্মত্তকারী জেলে,উন্মত্ত জেল
জেলে উত্থানে,জেল উত্থান
উত্থানে লুকাবে,উত্থান লুকানো
লুকাবে অঙ্ককে,লুকানো অঙ্ক
অঙ্ককে অধ্যাদেশকে,অঙ্ক অধ্যাদেশ
অধ্যাদেশকে মগ,অধ্যাদেশ মগ
মগ অন্যায়গুলি,মগ অন্যায়
অন্যায়গুলি ফেলাই,অন্যায় ফেলা
ফেলাই অনভ্যস্ত,ফেলা অভ্যাস
অনভ্যস্ত তহুরাটি,অভ্যাস তহুরা
তহুরাটি রাজনীতি,তহুরা রাজনীতি
রাজনীতি নামও,রাজনীতি নাম
নামও কমলাটি,নাম কমলা
কমলাটি রিপোর্ট,কমলা রিপোর্ট
রিপোর্ট খাটটা,রিপোর্ট খাট
খাটটা নাম,খাট নাম
নাম ক্ষতিপূরণ,নাম ক্ষতিপূরণ
ক্ষতিপূরণ ইহাতে,ক্ষতিপূরণ ইহা
ইহাতে এলাকাকে,ইহা এলাকা
এলাকাকে দফতরের,এলাকা দফতর
দফতরের অংশটুকুরই,দফতর অংশ
অংশটুকুরই অর্পণাই,অংশ অর্পণ
অর্পণাই ধনুকটি,অর্পণ ধনুক
ধনুকটি শীর্ণকায়া,ধনুক শীর্ণকায়া
শীর্ণকায়া অগ্রগতিটা,শীর্ণকায়া অগ্রগতি
অগ্রগতিটা ছাত্রীদেরকে,অগ্রগতি ছাত্রী
ছাত্রীদেরকে মদিনাই,ছাত্রী মদিনা
মদিনাই আপেলগাছ,মদিনা আপেল
আপেলগাছ দাঁড়ায়,আপেল দাঁড়ানো
দাঁড়ায় অনুসরণও,দাঁড়ানো অনুসরণ
অনুসরণও শেষটাও,অনুসরণ শেষ
শেষটাও সাদা,শেষ সাদা
সাদা অংশীদারহীনতা,সাদা অংশীদার
অংশীদারহীনতা বরং,অংশীদার বরং
বরং ঘোড়াদের,বরং ঘোড়া
ঘোড়াদের খরার,ঘোড়া খরা
খরার নবাবের,খরা নবাব
নবাবের ইন্দুমতি,নবাব ইন্দু
ইন্দুমতি কফিনই,ইন্দু কফিন
কফিনই বালকদের,কফিন বালক
বালকদের অভিযোগ,বালক অভিযোগ
অভিযোগ উপমাকে,অভিযোগ উপমা
উপমাকে নির্মাণ,উপমা নির্মাণ
নির্মাণ ধনাগারকে,নির্মাণ ধনাগার
ধনাগারকে অমরত্ব,ধনাগার অমর
অমরত্ব অসময়ে,অমর অসময়
অসময়ে কৃতবিদ্য,অসময় কৃতবিদ্য
কৃতবিদ্য বর্ষণ,কৃতবিদ্য বর্ষণ
বর্ষণ ভাঙে,বর্ষণ ভাঙা
ভাঙে আদালতও,ভাঙা আদালত
আদালতও কদবেলটি,আদালত কদবেল
কদবেলটি কাছাকাছি,কদবেল কাছ
কাছাকাছি অন্ধকারই,কাছ অন্ধকার
অন্ধকারই চিন্তারাজ্যে,অন্ধকার চিন্তারাজ্য
চিন্তারাজ্যে অবনম্র,চিন্তারাজ্য অবনম্র
অবনম্র শিল্পীয়,অবনম্র শিল্পী
শিল্পীয় দ্বারী,শিল্পী দ্বারী
দ্বারী দিচ্ছিলাম,দ্বারী দেওয়া
দিচ্ছিলাম আপাতমধুর,দেওয়া আপাত
আপাতমধুর জারুলটি,আপাত জারুল
জারুলটি পাত্রীপক্ষে,জারুল পাত্র্রী
পাত্রীপক্ষে অভদ্র,পাত্র্রী অভদ্র
অভদ্র শোয়াইত,অভদ্র শোয়া
শোয়াইত একদিনও,শোয়া একদিন
একদিনও ছয়েক,একদিন ছয়
ছয়েক বলাচ্ছি,ছয় বলা
বলাচ্ছি আভাটা,বলা আভা
আভাটা বিভাগের,আভা বিভাগ
বিভাগের রোহিঙ্গা,বিভাগ রোহিঙ্গা
রোহিঙ্গা ইজ্জতে,রোহিঙ্গা ইজ্জত
ইজ্জতে মরসুম,ইজ্জত মরসুম
মরসুম অনুশাসনই,মরসুম অনুশাসন
অনুশাসনই অপকর্ম,অনুশাসন অপকর্ম
অপকর্ম অবলোকনকারী,অপকর্ম অবলোকন
অবলোকনকারী অগাধ,অবলোকন অগাধ
অগাধ খাবার,অগাধ খাবার
খাবার কমলাই,খাবার কমলা
কমলাই পেয়ারাটার,কমলা পেয়ারা
পেয়ারাটার বনই,পেয়ারা বন
বনই অর্ধচন্দ্রাকৃতির,বন অর্ধচন্দ্র
অর্ধচন্দ্রাকৃতির খাসজমিও,অর্ধচন্দ্র খাসজমি
খাসজমিও তমালের,খাসজমি তমাল
তমালের আয়ত্তগম্য,তমাল আয়ত্ত
আয়ত্তগম্য আধুনিকায়নই,আয়ত্ত আধুনিকা
আধুনিকায়নই ইঞ্চিই,আধুনিকা ইঞ্চি
ইঞ্চিই লিখছিলে,ইঞ্চি লেখা
লিখছিলে পালটা,লেখা পালটা
পালটা অভিযোগকারীকে,পালটা অভিযোগকারী
অভিযোগকারীকে দীর্ঘস্থায়ী,অভিযোগকারী দীর্ঘস্থায়ী
দীর্ঘস্থায়ী দেওয়াই,দীর্ঘস্থায়ী দেওয়া
দেওয়াই অবসরগ্রহণ,দেওয়া অবসর
অবসরগ্রহণ জামানতটা,অবসর জামানত
জামানতটা অক্টোবরেও,জামানত অক্টোবর
অক্টোবরেও অতলস্পর্শ,অক্টোবর অতল
অতলস্পর্শ পড়াবার,অতল পড়ানো
পড়াবার সুতরাং,পড়ানো সুতরাং
সুতরাং কঞ্চির,সুতরাং কঞ্চি
কঞ্চির ছলনায়,কঞ্চি ছলনা
ছলনায় মহিলার,ছলনা মহিলা
মহিলার কল্যাণকাজে,মহিলা কল্যাণ
কল্যাণকাজে অভিমানটা,কল্যাণ অভিমান
অভিমানটা অনুসন্ধানকে,অভিমান অনুসন্ধান
অনুসন্ধানকে মানত,অনুসন্ধান মানত
মানত অকাজ,মানত অকাজ
অকাজ জেলেকে,অকাজ জেলে
জেলেকে ধনহারী,জেলে ধনহারী
ধনহারী উদরই,ধনহারী উদর
উদরই উপাধিলাভ,উদর উপাধি
উপাধিলাভ উপশমকারী,উপাধি উপশম
উপশমকারী লাগাতার,উপশম লাগাতার
লাগাতার গর্জনকে,লাগাতার গর্জন
গর্জনকে আসলেও,গর্জন আসলে
আসলেও হাতিয়েছিলো,আসলে হাতানো
হাতিয়েছিলো তৎক্ষণাৎ,হাতানো তৎক্ষণাৎ
তৎক্ষণাৎ কাফনের,তৎক্ষণাৎ কাফন
কাফনের আদেশবল,কাফন আদেশ
আদেশবল জাহাজের,আদেশ জাহাজ
জাহাজের উন্মাদনায়,জাহাজ উন্মাদনা
উন্মাদনায় ভালবাসতেন,উন্মাদনা ভালবাসা
ভালবাসতেন কয়েদী,ভালবাসা কয়েদী
কয়েদী উন্মাদনার,কয়েদী উন্মাদনা
উন্মাদনার হায়,উন্মাদনা হায়
হায় কাচিলি,হায় কাচা
কাচিলি ঢোলে,কাচা ঢোল
ঢোলে একদিনে,ঢোল একদিন
একদিনে মহীষটিকে,একদিন মহীষ
মহীষটিকে খাটুনি,মহীষ খাটুনি
খাটুনি ইশারাও,খাটুনি ইশারা
ইশারাও চালক,ইশারা চালক
চালক উঠিতে,চালক ওঠা
উঠিতে বুথের,ওঠা বুথ
বুথের বরেরই,বুথ বর
বরেরই ধ্বংসাবশেষ,বর ধ্বংস
ধ্বংসাবশেষ মর্মান্তিক,ধ্বংস মর্মান্তিক
মর্মান্তিক ভাইদেরকে,মর্মান্তিক ভাই
ভাইদেরকে পঁচাটি,ভাই পঁচা
পঁচাটি উদ্বোধকের,পঁচা উদ্বোধক
উদ্বোধকের অপকর্মের,উদ্বোধক অপকর্ম
অপকর্মের আস্তিক,অপকর্ম আস্তিক
আস্তিক তরুভুক,আস্তিক তরু
তরুভুক ঘাতই,তরু ঘাত
ঘাতই পাড়াপড়শির,ঘাত পাড়াপড়শি
পাড়াপড়শির জগত,পাড়াপড়শি জগত
জগত কফের,জগত কফ
কফের খাটোর,কফ খাটো
খাটোর তাঁরা,খাটো তার
তাঁরা তারিখটা,তার তারিখ
তারিখটা অধ্যাদেশগুলো,তারিখ অধ্যাদেশ
অধ্যাদেশগুলো অংশটুকুতেও,অধ্যাদেশ অংশ
অংশটুকুতেও লন,অংশ নেওয়া
লন পদ্ধতিটি,নেওয়া পদ্ধতি
পদ্ধতিটি নলে,পদ্ধতি নল
নলে ছড়রাবেন,নল ছাড়া
ছড়রাবেন উত্সাহ,ছাড়া উত্সাহ
উত্সাহ অবসাদে,উত্সাহ অবসাদ
অবসাদে ফিরাই,অবসাদ ফিরা
ফিরাই মুখটাকে,ফিরা মুখ
মুখটাকে বাজারটা,মুখ বাজার
বাজারটা আমাদেরকে,বাজার আমাদের
আমাদেরকে খাঁচাকে,আমাদের খাঁচা
খাঁচাকে অনুষদগুলো,খাঁচা অনুষদ
অনুষদগুলো হইতেছে,অনুষদ হওয়া
হইতেছে অক্ষিতারা,হওয়া অক্ষি
অক্ষিতারা মুকুল,অক্ষি মুকুল
মুকুল একনিষ্ঠভাবে,মুকুল একনিষ্ঠ
একনিষ্ঠভাবে লাশটা,একনিষ্ঠ লাশ
লাশটা চাষে,লাশ চাষ
চাষে মন্দই,চাষ মন্দ
মন্দই আখ্যানকে,মন্দ আখ্যান
আখ্যানকে উপদলে,আখ্যান উপদল
উপদলে জুয়ায়,উপদল জুয়া
জুয়ায় উদাসীনতাও,জুয়া উদাসীনতা
উদাসীনতাও রাজিই,উদাসীনতা রাজি
রাজিই দলামচা,রাজি দলা
দলামচা ঘুমানো,দলা ঘুম
ঘুমানো আবাহনীও,ঘুম আবাহনী
আবাহনীও কাঁদাচ্ছিলে,আবাহনী কাঁদা
কাঁদাচ্ছিলে দিতেই,কাঁদা দেওয়া
দিতেই অকৌশল,দেওয়া অকৌশল
অকৌশল অনবধানে,অকৌশল অনবধান
অনবধানে কলিকাকে,অনবধান কলিকা
কলিকাকে পরীত্যাগ,কলিকা পরিত্যাগ
পরীত্যাগ পাহারা,পরিত্যাগ পাহারা
পাহারা নড়িটি,পাহারা নড়ি
নড়িটি সুশ্রী,নড়ি সুশ্রী
সুশ্রী খুরি,সুশ্রী খুরি
খুরি কিল,খুরি কিল
কিল বাছুরকে,কিল বাছুর
বাছুরকে যন্ত্রটির,বাছুর যন্ত্র
যন্ত্রটির একবারসহ,যন্ত্র একবার
একবারসহ নয়ন,একবার নয়ন
নয়ন অদৃষ্টবাদী,নয়ন অদৃষ্ট
অদৃষ্টবাদী অবগতদের,অদৃষ্ট অবগত
অবগতদের ঢালাইতে,অবগত ঢালাই
ঢালাইতে খচ্চর,ঢালাই খচ্চর
খচ্চর ফুলী,খচ্চর ফুল
ফুলী দুঃখের,ফুল দুঃখ
দুঃখের কুমারীকে,দুঃখ কুমারী
কুমারীকে জ্ঞানহত,কুমারী জ্ঞান
জ্ঞানহত আবাসস্থল,জ্ঞান আবাসস্থল
আবাসস্থল রডটা,আবাসস্থল রড
রডটা অপ্রকৃতিস্থের,রড অপ্রকৃত
অপ্রকৃতিস্থের রায়গঞ্জে,অপ্রকৃত রায়গঞ্জ
রায়গঞ্জে কাচাইয়াছেন,রায়গঞ্জ কাচা
কাচাইয়াছেন টাইফুনে,কাচা টাইফুন
টাইফুনে তাসটা,টাইফুন তাস
তাসটা ফিরা,তাস ফিরা
ফিরা উপশম,ফিরা উপশম
উপশম শুনুন,উপশম শোনা
শুনুন লাহোর,শোনা লাহোর
লাহোর ভাড়াটে,লাহোর ভাড়াটে
ভাড়াটে রাজনৈতিক,ভাড়াটে রাজনীতি
রাজনৈতিক লেনে,রাজনীতি লেন
লেনে অনুমিতই,লেন অনুমিত
অনুমিতই অক্লান্তভাবে,অনুমিত অক্লান্ত
অক্লান্তভাবে অবনীভূষণ,অক্লান্ত অবনী
অবনীভূষণ সমস্যাই,অবনী সমস্যা
সমস্যাই অবসান,সমস্যা অবসান
অবসান আমিষের,অবসান আমিষ
আমিষের দেবালয়,আমিষ দেবালয়
দেবালয় ধুলা,দেবালয় ধুলা
ধুলা আদালতকক্ষ,ধুলা আদালত
আদালতকক্ষ তুমি,আদালত তুমি
তুমি ভোলাতে,তুমি ভোলানো
ভোলাতে চলাচল,ভোলানো চলাচল
চলাচল পাত্রপক্ষের,চলাচল পাত্র
পাত্রপক্ষের প্রভুর,পাত্র প্রভু
প্রভুর নিয়োগের,প্রভু নিয়োগ
নিয়োগের আকাশ,নিয়োগ আকাশ
আকাশ ঈদের,আকাশ ঈদ
ঈদের অদ্য,ঈদ অদ্য
অদ্য টোলে,অদ্য টোল
টোলে আরাধনীয়,টোল আরাধনা
আরাধনীয় সমালোচনা,আরাধনা সমালোচনা
সমালোচনা সিদ্ধান্তের,সমালোচনা সিদ্ধান্ত
সিদ্ধান্তের উড়ানির,সিদ্ধান্ত উড়ান
উড়ানির বিকালে,উড়ান বিকাল
বিকালে কাটিতেছিলেন,বিকাল কাটা
কাটিতেছিলেন থাকাটা,কাটা থাকা
থাকাটা কাচুন,থাকা কাচা
কাচুন গণনার,কাচা গণনা
গণনার ডানাটি,গণনা ডানা
ডানাটি খালুরা,ডানা খালু
খালুরা অংশটিও,খালু অংশ
অংশটিও হতো,অংশ হওয়া
হতো চাটুকারিতার,হওয়া চাটুকার
চাটুকারিতার পরাক,চাটুকার পরা
পরাক দেখলেই,পরা দেখা
দেখলেই ডালিয়া,দেখা ডালিয়া
ডালিয়া কম্বুগ্রীবা,ডালিয়া কম্বু
কম্বুগ্রীবা শিল্পীদের,কম্বু শিল্প
শিল্পীদের খবর,শিল্প খবর
খবর পরীক্ষায়,খবর পরীক্ষা
পরীক্ষায় সাজাইতে,পরীক্ষা সাজানো
সাজাইতে উপাদানের,সাজানো উপাদান
উপাদানের অপসারণে,উপাদান অপসারণ
অপসারণে অগ্নিপরীক্ষাটা,অপসারণ অগ্নিপরীক্ষা
অগ্নিপরীক্ষাটা শালাদের,অগ্নিপরীক্ষা শালা
শালাদের অণুগুলো,শালা অণু
অণুগুলো একান্ত,অণু একান্ত
একান্ত ঊনপঞ্চাশ,একান্ত ঊনপঞ্চাশ
ঊনপঞ্চাশ পাখির,ঊনপঞ্চাশ পাখি
পাখির পারলৌকিক,পাখি পারলৌকিক
পারলৌকিক ছুয়াই,পারলৌকিক ছুয়া
ছুয়াই ধরি,ছুয়া ধরা
ধরি মিনার,ধরা মিনার
মিনার নয়টা,মিনার নয়
নয়টা সংগঠন,নয় সংগঠন
সংগঠন ঝুলিটা,সংগঠন ঝুলি
ঝুলিটা উচ্ছিষ্টভোজী,ঝুলি উচ্ছিষ্ট
উচ্ছিষ্টভোজী বুঁদ,উচ্ছিষ্ট বুঁদ
বুঁদ চাপ,বুঁদ চাপ
চাপ কারণগুলিতে,চাপ কারণ
কারণগুলিতে মাংসের,কারণ মাংস
মাংসের দেশকে,মাংস দেশ
দেশকে গোপন,দেশ গোপন
গোপন লাইনে,গোপন লাইন
লাইনে নাপিতটা,লাইন নাপিত
নাপিতটা কারবার,নাপিত কারবার
কারবার ভাবতেন,কারবার ভাবা
ভাবতেন ফিরিস্তি,ভাবা ফিরিস্তি
ফিরিস্তি ইন্দ্রজাল,ফিরিস্তি ইন্দ্র
ইন্দ্রজাল করদাতার,ইন্দ্র করদাতাকে
করদাতার জনকে,করদাতাকে জন
জনকে শ্রান্তি,জন শ্রান্ত
শ্রান্তি নিখিল,শ্রান্ত নিখিল
নিখিল বিকেলে,নিখিল বিকেল
বিকেলে হাজারকে,বিকেল হাজার
হাজারকে সওদাই,হাজার সওদা
সওদাই অবলম্বনকারী,সওদা অবলম্বন
অবলম্বনকারী অনিশ্চিয়তার,অবলম্বন অনিশ্চিত
অনিশ্চিয়তার আবাসনে,অনিশ্চিত আবাসন
আবাসনে অনাদিকল্প,আবাসন অনাদি
অনাদিকল্প বি,অনাদি বি
বি রুমে,বি রুম
রুমে ঘটাচ্ছ,রুম ঘটা
ঘটাচ্ছ বর্তমান,ঘটা বর্তমান
বর্তমান মামিদের,বর্তমান মামি
মামিদের উত্সর্গকৃত,মামি উত্সর্গ
উত্সর্গকৃত অনিশ্চয়তাই,উত্সর্গ অনিশ্চয়তা
অনিশ্চয়তাই শব্দবহ,অনিশ্চয়তা শব্দ
শব্দবহ চটপটিটা,শব্দ চটপটি
চটপটিটা একদল,চটপটি একদল
একদল আইস,একদল আসা
আইস অভিজ্ঞতাকে,আসা অভিজ্ঞতা
অভিজ্ঞতাকে পারদটা,অভিজ্ঞতা পারদ
পারদটা কিংবদন্তিও,পারদ কিংবদন্তি
কিংবদন্তিও অভিশপ্তরা,কিংবদন্তি অভিশপ্ত
অভিশপ্তরা অস্ত্রের,অভিশপ্ত অস্ত্র
অস্ত্রের ধারণা,অস্ত্র ধারণা
ধারণা একবারও,ধারণা একবার
একবারও বিষাদের,একবার বিষাদ
বিষাদের আসাযাওয়া,বিষাদ আসাযাওয়া
আসাযাওয়া কালাপেড়ে,আসাযাওয়া কালোপাড়
কালাপেড়ে জানিয়েছি,কালোপাড় জানা
জানিয়েছি পদধূলি,জানা পদধূলি
পদধূলি পূর্ববৎ,পদধূলি পূর্ব
পূর্ববৎ নকুলরা,পূর্ব নকুল
নকুলরা নিরাপত্তারক্ষীর,নকুল নিরাপত্তারক্ষী
নিরাপত্তারক্ষীর কৃত্রিম,নিরাপত্তারক্ষী কৃত্রিম
কৃত্রিম আত্মজীবনী,কৃত্রিম আত্মজীবনী
আত্মজীবনী বাইরেও,আত্মজীবনী বাইরে
বাইরেও চলছিলুম,বাইরে চলা
চলছিলুম স্নেহময়,চলা স্নেহ
স্নেহময় কেবিনের,স্নেহ কেবিন
কেবিনের বিহঙ্গকে,কেবিন বিহঙ্গ
বিহঙ্গকে পক্ষে,বিহঙ্গ পক্ষে
পক্ষে চক্ষে,পক্ষে চক্ষু
চক্ষে ডায়রি,চক্ষু ডায়রি
ডায়রি আপাদমস্তকই,ডায়রি আপাদমস্তক
আপাদমস্তকই হেলবে,আপাদমস্তক হেলানো
হেলবে উদ্ভাবনীতে,হেলানো উদ্ভাবনী
উদ্ভাবনীতে ঐশ্বর্যও,উদ্ভাবনী ঐশ্বর্য
ঐশ্বর্যও প্রতিরোধের,ঐশ্বর্য প্রতিরোধ
প্রতিরোধের আকারের,প্রতিরোধ আকার
আকারের নিচ্ছেন,আকার নেওয়া
নিচ্ছেন আরও,নেওয়া আর
আরও আঙ্গিক,আর আঙ্গিক
আঙ্গিক তথ্য,আঙ্গিক তথ্য
তথ্য চুক্তিকে,তথ্য চুক্তি
চুক্তিকে অবাধ্যতা,চুক্তি অবাধ্য
অবাধ্যতা উত্পাদনকর্ম,অবাধ্য উত্পাদন
উত্পাদনকর্ম পোস্তকে,উত্পাদন পোস্ত
পোস্তকে আন্দাজে,পোস্ত আন্দাজ
আন্দাজে খেলবে,আন্দাজ খেলা
খেলবে পণ্ডিত,খেলা পণ্ডিত
পণ্ডিত টউশনিটার,পণ্ডিত টউশনি
টউশনিটার আইনের,টউশনি আইন
আইনের আইডেন্টিটি,আইন আইডেন্টিটি
আইডেন্টিটি ইংলিশরা,আইডেন্টিটি ইংলিশ
ইংলিশরা চন্দনের,ইংলিশ চন্দন
চন্দনের আন্দাজ,চন্দন আন্দাজ
আন্দাজ দ্রুততম,আন্দাজ দ্রুত
দ্রুততম অপমানজনক,দ্রুত অপমান
অপমানজনক ভিত্তি,অপমান ভিত্তি
ভিত্তি দৌড়েছিলি,ভিত্তি দৌড়
দৌড়েছিলি আদায়,দৌড় আদায়
আদায় মানুষগুলোর,আদায় মানুষ
মানুষগুলোর বাসায়,মানুষ বাসা
বাসায় পরিশ্রমই,বাসা পরিশ্রম
পরিশ্রমই শয়তানকে,পরিশ্রম শয়তান
শয়তানকে অপ্রিয়বাদিনী,শয়তান অপ্রিয়
অপ্রিয়বাদিনী চুলাই,অপ্রিয় চুলা
চুলাই স্বর্গই,চুলা স্বর্গ
স্বর্গই অন্তর্মুখী,স্বর্গ অন্তর্মুখী
অন্তর্মুখী হৃদয়,অন্তর্মুখী হৃদয়
হৃদয় অধাতুরই,হৃদয় অধাতু
অধাতুরই আমেজই,অধাতু আমেজ
আমেজই জানিয়েছেন,আমেজ জানানো
জানিয়েছেন ইজারাও,জানানো ইজারা
ইজারাও আরোহণকারী,ইজারা আরোহণ
আরোহণকারী চলল,আরোহণ চলা
চলল তুলাতে,চলা তুলা
তুলাতে কাটিস,তুলা কাটা
কাটিস ভেঙে,কাটা ভাঙা
ভেঙে অপূর্ণতা,ভাঙা অপূর্ণ
অপূর্ণতা টিউশনি,অপূর্ণ টিউশনি
টিউশনি অর্জনকারী,টিউশনি অর্জন
অর্জনকারী বিদ্যুল্লতার,অর্জন বিদ্যুৎলতা
বিদ্যুল্লতার দেদার,বিদ্যুৎলতা দেদার
দেদার বিশালই,দেদার বিশাল
বিশালই রঙের,বিশাল রং
রঙের ড্রপের,রং ড্রপ
ড্রপের আনুগত্যে,ড্রপ আনুগত্য
আনুগত্যে পরিষদকে,আনুগত্য পরিষদ
পরিষদকে খড়ের,পরিষদ খড়
খড়ের আবৃত্তিকর্মীদের,খড় আবৃত্তি
আবৃত্তিকর্মীদের আমানতদার,আবৃত্তি আমানত
আমানতদার এমনকী,আমানত এমন
এমনকী গণকের,এমন গণক
গণকের নাগালে,গণক নাগাল
নাগালে আভাসই,নাগাল আভাস
আভাসই আসলি,আভাস আসা
আসলি চিত্তরঞ্জন,আসা চিত্তরঞ্জন
চিত্তরঞ্জন দিগ্ভ্রান্ত,চিত্তরঞ্জন দিগ্ভ্রান্ত
দিগ্ভ্রান্ত মালিশের,দিগ্ভ্রান্ত মালিশ
মালিশের পালানোর,মালিশ পলানো
পালানোর অপচেষ্টারই,পলানো অপচেষ্টা
অপচেষ্টারই সুপারিশ,অপচেষ্টা সুপারিশ
সুপারিশ মেঘাচ্ছন্ন,সুপারিশ মেঘআচ্ছন্ন
মেঘাচ্ছন্ন সমস্যাটি,মেঘআচ্ছন্ন সমস্যা
সমস্যাটি ইজারাকৃত,সমস্যা ইজারা
ইজারাকৃত চড়ে,ইজারা চড়ানো
চড়ে ছাত্রটা,চড়ানো ছাত্র
ছাত্রটা টানাটানি,ছাত্র টানা
টানাটানি উদ্বৃত্তই,টানা উদ্বৃত্ত
উদ্বৃত্তই আবৃতবীজি,উদ্বৃত্ত আবৃত
আবৃতবীজি অমুকটা,আবৃত অমুক
অমুকটা জালি,অমুক জালি
জালি রংধনুর,জালি রংধনু
রংধনুর নিশ্চিতরে,রংধনু নিশ্চিত
নিশ্চিতরে বকুল,নিশ্চিত বকুল
বকুল উপজাতীয়তা,বকুল উপজাতীয়
উপজাতীয়তা যতিচিহ্নটি,উপজাতীয় যতিচিহ্ন
যতিচিহ্নটি জাত,যতিচিহ্ন জাত
জাত ঐতিহ্যও,জাত ঐতিহ্য
ঐতিহ্যও কটাক্ষে,ঐতিহ্য কটাক্ষ
কটাক্ষে নাতনির,কটাক্ষ নাতনি
নাতনির জাফরান,নাতনি জাফরান
জাফরান অনিচ্ছার,জাফরান অনিচ্ছা
অনিচ্ছার পড়াস,অনিচ্ছা পড়া
পড়াস আতিথ্যকর্তা,পড়া আতিথ্য
আতিথ্যকর্তা চেতনাদান,আতিথ্য চেতনা
চেতনাদান আরোহীরা,চেতনা আরোহী
আরোহীরা সন্দেহ,আরোহী সন্দেহ
সন্দেহ কাবাবও,সন্দেহ কাবাব
কাবাবও আজ্ঞাপত্র,কাবাব আজ্ঞা
আজ্ঞাপত্র পিশাচকে,আজ্ঞা পিশাচ
পিশাচকে অনুষদ,পিশাচ অনুষদ
অনুষদ লোকটাকে,অনুষদ লোক
লোকটাকে দেশি,লোক দেশ
দেশি মেয়েটি,দেশ মেয়ে
মেয়েটি হোল,মেয়ে হোল
হোল মেশিনের,হোল মেশিন
মেশিনের আত্মগৌরব,মেশিন আত্মগৌরব
আত্মগৌরব অগ্রাহ্য,আত্মগৌরব অগ্রাহ্য
অগ্রাহ্য অভাগার,অগ্রাহ্য অভাগা
অভাগার খাইছি,অভাগা খাওয়া
খাইছি তিনিও,খাওয়া তিনি
তিনিও আস্তিনিপুর,তিনি আস্তিন
আস্তিনিপুর গুরুত্ব,আস্তিন গুরুত্ব
গুরুত্ব ইয়ারিং,গুরুত্ব ইয়ারিং
ইয়ারিং অভ্যর্থনাটা,ইয়ারিং অভ্যর্থনা
অভ্যর্থনাটা এক,অভ্যর্থনা এ
এক নির্দেশতো,এ নির্দেশ
নির্দেশতো কারণ,নির্দেশ কারণ
কারণ উত্তরপ্রদেশ,কারণ উত্তরপ্রদেশ
উত্তরপ্রদেশ ঋতুচক্র,উত্তরপ্রদেশ ঋতু
ঋতুচক্র কুন্ঠিত,ঋতু কুণ্ঠা
কুন্ঠিত দীপ,কুণ্ঠা দীপ
দীপ বলছি,দীপ বলা
বলছি যৌথভাগ,বলা যৌথ
যৌথভাগ কৃতজ্ঞতাদুষ্ট,যৌথ কৃতজ্ঞ
কৃতজ্ঞতাদুষ্ট ইতিহাস,কৃতজ্ঞ ইতিহাস
ইতিহাস খাচ্ছিল,ইতিহাস খাওয়া
খাচ্ছিল আয়তন,খাওয়া আয়তন
আয়তন ইঞ্চির,আয়তন ইঞ্চি
ইঞ্চির ক্ষুধাতুর,ইঞ্চি ক্ষুধাতুর
ক্ষুধাতুর নরম,ক্ষুধাতুর নরম
নরম অব্যয়ীভাব,নরম অব্যয়
অব্যয়ীভাব আত্মপ্রকাশে,অব্যয় আত্মপ্রকাশ
আত্মপ্রকাশে উপধারায়,আত্মপ্রকাশ উপধারা
উপধারায় অপ্সরীদের,উপধারা অপ্সরা
অপ্সরীদের অসমানই,অপ্সরা অসমান
অসমানই আগে,অসমান আগে
আগে উত্কর্ষিত,আগে উত্কর্ষ
উত্কর্ষিত বাসিন্দা,উত্কর্ষ বাস
বাসিন্দা নির্ভর,বাস নির্ভর
নির্ভর উন্মাদপ্রায়,নির্ভর উন্মাদনা
উন্মাদপ্রায় নিন্দুকরা,উন্মাদনা নিন্দক
নিন্দুকরা দিয়ে,নিন্দক দেওয়া
দিয়ে বদল,দেওয়া বদল
বদল হস্তে,বদল হস্ত
হস্তে ছাড়তে,হস্ত ছাড়া
ছাড়তে অপরাহ্ন,ছাড়া অপরাহ্ন
অপরাহ্ন আলিঙ্গনে,অপরাহ্ন আলিঙ্গন
